pmid,title,authors,journal,publication_date,doi,abstract,topic,citation_count,impact_factor,score,rank
11111111,Highly Cited Research,Dr. Einstein,Science,2023-06-01T00:00:00,10.1234/score.2023.001,,cancer-immunotherapy,150,42.5,95.5,1
22222222,Important Study,Prof. Newton,Nature,2023-07-15T00:00:00,10.1234/score.2023.002,,de-novo-protein-design,87,39.8,78.3,2
99999999,Additional Paper,New Author,Journal of Examples,2024-01-19T00:00:00,10.1234/additional.2024.001,,bioinformatics
41522213,AI-driven drug discovery and repurposing using multi-omics for myocardial infarction and heart failure.,Ziad Sabry; Harkirat Singh Arora; Sriram Chandrasekaran; Zhong Wang,Exploration of medicine,2025-06-25T00:00:00,10.37349/emed.2025.1001340,"Cardiovascular diseases (CVDs) are the leading causes of morbidity and mortality worldwide. Yet, drug discovery for these conditions faces significant challenges due to the complexity and heterogeneity of their underlying pathology. Recently, artificial intelligence (AI) techniques-particularly explainable AI (XAI)-have emerged as powerful multi-omics data analyzing tools to unravel pathological mechanisms and novel therapeutic targets. However, the application of XAI in cardiovascular drug discovery remains in its infancy. This review discusses the potential for the integration of AI with multi-omics data to identify novel therapeutic targets and repurpose existing drugs for myocardial infarction (MI) and heart failure (HF). This review highlights the current gap in leveraging XAI for CVDs and discusses key challenges such as data heterogeneity, model interpretability, and translational validation. This review also describes emerging approaches, including combining AI with mechanistic models, that aim to enhance the biological relevance of AI predictions. By utilizing genomic, transcriptomic, epigenomic, proteomic, and metabolomic datasets, AI-driven methods can uncover new biomarkers and predict drug responses with greater precision. The application of AI in analyzing large-scale clinical and molecular data offers significant promise in accelerating drug discovery, refining therapeutic strategies, and improving outcomes for patients with CVDs. This review highlights recent advancements, challenges, and future directions for AI-guided drug discovery in the context of MI and HF.",ai-drug-discovery,2,143.4888888888889,60.74014843937225,1
41531766,Explainable artificial intelligence for molecular design in pharmaceutical research.,Alec Lamens; Jürgen Bajorath,Chemical science,2026-01-12T00:00:00,10.1039/d5sc08461j,"The rise of artificial intelligence (AI) has taken machine learning (ML) in molecular design to a new level. As ML increasingly relies on complex deep learning frameworks, the inability to understand predictions of black-box models has become a topical issue. Consequently, there is strong interest in the field of explainable AI (XAI) to bridge the gap between black-box models and the acceptance of their predictions, especially at interfaces with experimental disciplines. Therefore, XAI methods must go beyond extracting learning patterns from ML models and present explanations of predictions in a human-centered, transparent, and interpretable manner. In this Perspective, we examine current challenges and opportunities for XAI in molecular design and evaluate the benefits of incorporating domain-specific knowledge into XAI approaches for model refinement, experimental design, and hypothesis testing. In this context, we also discuss the current limitations in evaluating results from chemical language models that are increasingly used in molecular design and drug discovery.",ai-drug-discovery,1,45.767391304347825,59.71400773077471,2
41520708,"Artificial Intelligence and Machine Learning in Antimicrobial Discovery, Resistance Prediction, and Precision Therapy.",Reema Singh; Yu-Wei Lin; Jinxin Zhao; Jian Li,International journal of antimicrobial agents,2026-01-09T00:00:00,10.1016/j.ijantimicag.2026.107715,"The global crisis of antimicrobial resistance (AMR) demands a paradigm shift in traditional drug discovery, and artificial intelligence (AI) is uniquely positioned to lead this transformation. We highlight how AI and machine learning (ML) can accelerate the discovery of novel antimicrobials by enabling de novo drug design, virtual screening, identification of new drug targets, and elucidation of antimicrobial mechanisms. Furthermore, AI/ML is revolutionizing resistance prediction by integrating diverse genomic and phenotypic data for rapid diagnostics, real-time surveillance, and personalized antimicrobial therapy. Despite data and the 'black-box' challenge of model interpretability, the potential of AI to combat AMR hinges on sustained investment, data-sharing, and unprecedented interdisciplinary collaboration worldwide. The strategic deployment of AI and ML is thus a crucial element in the battle plan in the war against drug-resistant pathogens.",ai-drug-discovery,0,139.02631578947367,58.082328767123286,3
40770436,Data-driven de novo design of super-adhesive hydrogels.,Hongguang Liao; Sheng Hu; Hu Yang; Lei Wang; Shinya Tanaka; Ichigaku Takigawa; Wei Li; Hailong Fan; Jian Ping Gong,Nature,2025-08-06T00:00:00,10.1038/s41586-025-09269-4,"Data-driven methodologies have transformed the discovery and prediction of hard materials with well-defined atomic structures by leveraging standardized datasets, enabling accurate property predictions and facilitating efficient exploration of design spaces<sup>1-3</sup>. However, their application to soft materials remains challenging because of complex, multiscale structure-property relationships<sup>4-6</sup>. Here we present a data-driven approach that integrates data mining, experimentation and machine learning to design high-performance adhesive hydrogels from scratch, tailored for demanding underwater environments. By leveraging protein databases, we developed a descriptor strategy to statistically replicate protein sequence patterns in polymer strands by ideal random copolymerization, enabling targeted hydrogel design and dataset construction. Using machine learning, we optimized hydrogel formulations from an initial dataset of 180 bioinspired hydrogels, achieving remarkable improvements in adhesive strength, with a maximum value exceeding 1 MPa. These super-adhesive hydrogels hold immense potential across diverse applications, from biomedical engineering to deep-sea exploration, marking a notable advancement in data-driven innovation for soft materials.",de-novo-protein-design,38,64.8,74.50482429983558,1
40702261,Integrated biotechnological and AI innovations for crop improvement.,Guotian Li; Linna An; Wanneng Yang; Lei Yang; Tong Wei; Jiawei Shi; Jianglin Wang; John H Doonan; Kabin Xie; Alisdair R Fernie; Evans S Lagudah; Rod A Wing; Caixia Gao,Nature,2025-07-23T00:00:00,10.1038/s41586-025-09122-8,"Crops provide food, clothing and other important products for the global population. To meet the demands of a growing population, substantial improvements are required in crop yield, quality and production sustainability. However, these goals are constrained by various environmental factors and limited genetic resources. Overcoming these limitations requires a paradigm shift in crop improvement by fully leveraging natural genetic diversity alongside biotechnological approaches such as genome editing and the heterologous expression of designed proteins, coupled with multimodal data integration. In this Review, we provide an in-depth analysis of integrated uses of omics technologies, genome editing, protein design and high-throughput phenotyping, in crop improvement, supported by artificial intelligence-enabled tools. We discuss the emerging applications and current challenges of these technologies in crop improvement. Finally, we present a perspective on how elite alleles generated through these technologies can be incorporated into the genomes of existing and de novo domesticated crops, aided by a proposed artificial intelligence model. We suggest that integrating these technologies with agricultural practices will lead to a new revolution in crop improvement, contributing to global food security in a sustainable manner.",de-novo-protein-design,31,64.8,71.22137945067858,2
40451590,Artificial intelligence revolution in drug discovery: A paradigm shift in pharmaceutical innovation.,Somayah J Jarallah; Fahad A Almughem; Nada K Alhumaid; Nojoud Al Fayez; Ibrahim Alradwan; Khulud A Alsulami; Essam A Tawfik; Abdullah A Alshehri,International journal of pharmaceutics,2025-05-30T00:00:00,10.1016/j.ijpharm.2025.125789,"Integrating artificial intelligence (AI) into drug discovery has revolutionized pharmaceutical innovation, addressing the challenges of traditional methods that are costly, time-consuming, and suffer from high failure rates. By utilizing machine learning (ML), deep learning (DL), and natural language processing (NLP), AI enhances various stages of drug development, including target identification, lead optimization, de novo drug design, and drug repurposing. AI tools, such as AlphaFold for protein structure prediction and AtomNet for structure-based drug design, have significantly accelerated the discovery process, improved efficiency and reduced costs. Success stories like Insilico Medicine's AI-designed molecule for idiopathic pulmonary fibrosis and BenevolentAI's identification of baricitinib for COVID-19 highlight AI's transformative potential. Additionally, AI enables the exploration of vast chemical spaces, optimization of clinical trials, and the identification of novel therapeutic targets, paving the way for precision medicine. However, challenges such as limited data accessibility, integration of diverse datasets, interpretability of AI models, and ethical concerns remain critical hurdles. Overcoming these limitations through enhanced algorithms, standardized databases, and interdisciplinary collaboration is essential. Overall, AI continues to reshape drug discovery, reducing timelines, increasing success rates, and driving the development of innovative and accessible therapies for unmet medical needs.",de-novo-protein-design,18,141.64565217391305,70.00392838762006,341522213,AI-driven drug discovery and repurposing using multi-omics for myocardial infarction and heart failure.,Ziad Sabry; Harkirat Singh Arora; Sriram Chandrasekaran; Zhong Wang,Exploration of medicine,2025-06-25T00:00:00,10.37349/emed.2025.1001340,"Cardiovascular diseases (CVDs) are the leading causes of morbidity and mortality worldwide. Yet, drug discovery for these conditions faces significant challenges due to the complexity and heterogeneity of their underlying pathology. Recently, artificial intelligence (AI) techniques-particularly explainable AI (XAI)-have emerged as powerful multi-omics data analyzing tools to unravel pathological mechanisms and novel therapeutic targets. However, the application of XAI in cardiovascular drug discovery remains in its infancy. This review discusses the potential for the integration of AI with multi-omics data to identify novel therapeutic targets and repurpose existing drugs for myocardial infarction (MI) and heart failure (HF). This review highlights the current gap in leveraging XAI for CVDs and discusses key challenges such as data heterogeneity, model interpretability, and translational validation. This review also describes emerging approaches, including combining AI with mechanistic models, that aim to enhance the biological relevance of AI predictions. By utilizing genomic, transcriptomic, epigenomic, proteomic, and metabolomic datasets, AI-driven methods can uncover new biomarkers and predict drug responses with greater precision. The application of AI in analyzing large-scale clinical and molecular data offers significant promise in accelerating drug discovery, refining therapeutic strategies, and improving outcomes for patients with CVDs. This review highlights recent advancements, challenges, and future directions for AI-guided drug discovery in the context of MI and HF.",ai-drug-discovery,2,143.4888888888889,60.74014843937225,1
41531766,Explainable artificial intelligence for molecular design in pharmaceutical research.,Alec Lamens; Jürgen Bajorath,Chemical science,2026-01-12T00:00:00,10.1039/d5sc08461j,"The rise of artificial intelligence (AI) has taken machine learning (ML) in molecular design to a new level. As ML increasingly relies on complex deep learning frameworks, the inability to understand predictions of black-box models has become a topical issue. Consequently, there is strong interest in the field of explainable AI (XAI) to bridge the gap between black-box models and the acceptance of their predictions, especially at interfaces with experimental disciplines. Therefore, XAI methods must go beyond extracting learning patterns from ML models and present explanations of predictions in a human-centered, transparent, and interpretable manner. In this Perspective, we examine current challenges and opportunities for XAI in molecular design and evaluate the benefits of incorporating domain-specific knowledge into XAI approaches for model refinement, experimental design, and hypothesis testing. In this context, we also discuss the current limitations in evaluating results from chemical language models that are increasingly used in molecular design and drug discovery.",ai-drug-discovery,1,45.767391304347825,59.71400773077471,2
